atco_area_code,atco_area_id,atco_outarea,stop_no,naptan_stop_no,maximo_stop_no,sms_stop_no,rt_stop_no,cluster_no,road_name,street_name,stop_name,stop_identifier,jp_stop_name,rt_stop_name,start_date,end_date,stop_aka,mode,stop_type,naptan_stop_type,naptan_stop_sub_type,both_dir,schools_only,alighting_only,status,naptan_record_status,landmark,side_road,suburb,town,county,ward,district,northing,easting,latitude,longitude,local_area,direction,national_gazetteer_id,national_gazetteer_locality,locality_centre_indicator,naptan_bus_registration_status,seating_type,site_illuminated,shelter_type,Shelter,shelt_end_date,additional_flag_text,tt_boards_req,no_panels_total,no_panels_tt,service_plate,service_plate_text,platform,stand,flag_mount,tt_board_type,created_on,parliamentary_constituency,Boardings Per Month,Boardings Per Hour,Stop Calls Per Month,Stop Calls Per Hour,Board Type,Interchange,Boarding Band,Stop Calls Per Month Band,Stop Calls Per Hour Band,Damaged,Views,Users,Views per User,Realtime_Helper,Realtime?,Shelter?,Virtual?,Poster?
370,99 ,0,0055028 ,370055028,55028,,37055028,09184,Saltersbrook Road,Saltersbrook Road,Saltersbrook Road/Nanny Marr Road,opp,Nanny Marr Road,Nanny Marr Road,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Saltersbrook Road/Nanny Marr Road,B,P,BCT,MKD,N,N,N,L,ACT,Opp Nanny Marr Road,Nanny Marr Road,Darfield,Barnsley,South Yorkshire,Darfield Ward,Barnsley District,404817,441631,53.538359713,-1.373307514,Darfield,SE,E0030115,Darfield,N,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,489.6666667,1.345238095,Horizon 2 Panel Carousel,No,0,400-499,0.1-3,0,9,6,1.5,370055028,1,1,0,None
370,99 ,0,0055105 ,370055105,55105,,37055105,09193,Saltersbrook Road,Saltersbrook Road,Saltersbrook Road/Highfield Range,opp,Highfield Range,Highfield Range,1993-06-13 00:00:00.000,2099-01-01 00:00:00.000,Saltersbrook Road/Highfield Range,B,P,BCT,MKD,N,N,N,L,ACT,Cemetery,Highfield Range,Darfield,Barnsley,South Yorkshire,Darfield Ward,Barnsley District,404993,441308,53.539966997,-1.378157719,Darfield,W,E0030115,Darfield,N,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,BRSB,INF2,1993-06-13 00:00:00.000,Barnsley East,0,0,489.6666667,1.345238095,Manplas standard 2 panel caro,No,0,400-499,0.1-3,0,76,20,3.8,No,0,1,0,Products
370,99 ,0,0050883 ,370050883,50883,,37050883,08486,Sackup Lane,Sackup Lane,Sackup Lane/Station Road,adj,Station Road,Darton Primary,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Sackup Lane/Station Road,B,P,BCT,MKD,Y,N,N,L,ACT,Opposite 8,Station Road,Bloomhouse Green,Barnsley,South Yorkshire,Darton East Ward,Barnsley District,410034,431716,53.585940158,-1.522379040,Bloomhouse Green,NE,E0030024,Bloomhouse Green,N,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,Both Directions,C,2,1 ,N,,NULL,NULL,TCAP,TF2R,1993-06-07 00:00:00.000,Barnsley Central,0,0,1131,3.107142857,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,0,0,0,No Data,No,0,1,0,None
370,99 ,0,0055370 ,370055370,55370,,37055370,08565,Bank End Avenue,Bank End Avenue,Bank End Avenue/Wellington Crescent,adj,Wellington Crescent,Wellington Crescent,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Bank End Avenue/Wellington Crescent,B,P,BCT,MKD,N,N,N,L,ACT,Outside No. 1,Wellington Crescent,Worsbrough Dale,Barnsley,South Yorkshire,Worsbrough Ward,Barnsley District,404220,436215,53.533394041,-1.455093112,Worsbrough Dale,N ,E0030723,Worsbrough Dale,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,STSB,TF2R,1993-06-07 00:00:00.000,Barnsley East,0,0,1157,3.178571429,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,0,0,0,No Data,No,0,1,0,None
370,99 ,0,0050681 ,370050681,50681,,37050681,08498,Sackup Lane,Sackup Lane,Sackup Lane/Edgehill Road,adj,Edgehill Road,Edgehill Road,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Sackup Lane/Edgehill Road,B,P,BCT,MKD,N,N,N,L,ACT,Outside Post Office,Edgehill Road,Staincross,Barnsley,South Yorkshire,Darton East Ward,Barnsley District,410954,432408,53.594166907,-1.511831045,Staincross,N ,E0030558,Staincross,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,,  ,STSB,INF2,1993-06-07 00:00:00.000,Barnsley Central,0,0,86.66666667,0.238095238,Manplas standard 2 panel caro,No,0,1-99,0.1-3,0,0,0,No Data,No,0,1,0,None
370,99 ,0,0050881 ,370050881,50881,,37050881,08488,Sackup Lane,Sackup Lane,Sackup Lane/Cranborne Drive,adj,Cranborne Drive,Cranborne Drive,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Sackup Lane/Cranborne Drive,B,P,BCT,MKD,N,N,N,L,ACT,Opposite 90,Cranborne Drive,Bloomhouse Green,Barnsley,South Yorkshire,Darton East Ward,Barnsley District,410315,431881,53.588455805,-1.519858080,Bloomhouse Green,N ,E0030024,Bloomhouse Green,N,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,TCAP,TF2R,1993-06-07 00:00:00.000,Barnsley Central,0,0,1131,3.107142857,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,0,3,3,1,No,0,1,0,None
370,99 ,0,0050414 ,370050414,50414,,37050414,08462,Bar Lane,Bar Lane,Bar Lane/Cloudberry Way,adj,Cloudberry Way,Cloudberry Way,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Bar Lane/Cloudberry Way,B,P,BCT,MKD,N,N,N,L,ACT,Outside No. 51,Cloudberry Way,Mapplewell,Barnsley,South Yorkshire,Darton East Ward,Barnsley District,409791,433532,53.583643510,-1.494974189,Mapplewell,SE,E0030367,Mapplewell,N,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,R,2,1 ,N,,NULL,NULL,TCAP,TF2R,1993-06-07 00:00:00.000,Barnsley Central,0,0,1131,3.107142857,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,0,52,33,1.575757576,No,0,1,0,None
370,99 ,0,0055329 ,370055329,55329,,37055329,09776,Barnburgh Lane,Barnburgh Lane,Barnburgh Lane/Windermere Avenue,Adj,Windermere Avenue,Windermere Avenue,1993-06-13 00:00:00.000,2099-01-01 00:00:00.000,Barnburgh Lane/Windermere Avenue,B,P,BCT,MKD,N,N,N,L,ACT,Opposite 37,Windermere Avenue,Goldthorpe,Barnsley,South Yorkshire,Dearne South Ward,Barnsley District,404000,446295,53.530627457,-1.303059188,Goldthorpe,W,E0030186,Goldthorpe,N,   ,BSL,N,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,  ,  ,STSB,HOR2,1993-06-13 00:00:00.000,Wentworth and Dearne,0,0,446.3333333,1.226190476,Horizon 2 Panel Carousel,No,0,400-499,0.1-3,0,6,5,1.2,No,0,1,0,None
370,99 ,0,0055467 ,370055467,55467,,37055467,08698,Redthorne Way,Redthorne Way,Redthorne Way/Henry Close,opp,Henry Close,Henry Close,2000-08-04 00:00:00.000,2099-01-01 00:00:00.000,Redthorne Way/Henry Close,B,P,BCT,MKD,N,N,N,L,ACT,Opposite Henry Close,Henry Close,Shafton,Barnsley,South Yorkshire,North East Ward,Barnsley District,411416,439029,53.597869597,-1.411744187,Shafton,W,E0052712,Shafton,N,   ,BSL,N,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,LPST,TF2R,2000-08-04 00:00:00.000,Barnsley East,0,0,394.3333333,1.083333333,Trueform 2 Panel Rotating,No,0,300-399,0.1-3,0,6,4,1.5,No,0,1,0,None
370,99 ,0,0055227 ,370055227,55227,,37055227,09122,Barnsley Road,Barnsley Road,Barnsley Road/Aldham House Lane,adj,Aldham House Lane,Aldham House Lane,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/Aldham House Lane,B,P,BCT,MKD,N,N,N,L,ACT,Outside 279,Aldham House Lane,Wombwell,Barnsley,South Yorkshire,Stairfoot Ward,Barnsley District,404237,438866,53.533357994,-1.415097469,Wombwell,W ,E0030701,Wombwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,3003,8.25,Horizon 2 Panel Carousel,No,0,3000-3999,3-10,0,93,48,1.9375,370055227,1,1,0,None
370,99 ,0,0055346 ,370055346,55346,,37055346,09122,Barnsley Road,Barnsley Road,Barnsley Road/Aldham House Lane,opp,Aldham House Lane,Aldham House Lane,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/Aldham House Lane,B,P,BCT,MKD,N,N,N,L,ACT,Opposite 279,Aldham House Lane,Wombwell,Barnsley,South Yorkshire,Stairfoot Ward,Barnsley District,404245,438881,53.533428790,-1.414870185,Wombwell,SE,E0030701,Wombwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2899,7.964285714,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,0,0,0,No Data,No,0,1,0,None
